,distance_name,histogram_name,num_bins,accuracy
0,intersect,rgb,65,0.8539325842696629
1,intersect,rgb,70,0.7640449438202247
2,intersect,rgb,75,0.8202247191011236
3,intersect,rgb,80,0.7191011235955056
4,intersect,rgb,85,0.8202247191011236
5,intersect,rgb,90,0.7191011235955056
6,intersect,rgb,95,0.8202247191011236
7,l2,rgb,65,0.3258426966292135
8,l2,rgb,70,0.3146067415730337
9,l2,rgb,75,0.3258426966292135
10,l2,rgb,80,0.29213483146067415
11,l2,rgb,85,0.33707865168539325
12,l2,rgb,90,0.2696629213483146
13,l2,rgb,95,0.33707865168539325
14,chi2,rgb,65,0.34831460674157305
15,chi2,rgb,70,0.3146067415730337
16,chi2,rgb,75,0.3258426966292135
17,chi2,rgb,80,0.3258426966292135
18,chi2,rgb,85,0.38202247191011235
19,chi2,rgb,90,0.30337078651685395
20,chi2,rgb,95,0.3707865168539326
