,distance_name,histogram_name,num_bins,accuracy
0,intersect,rgb,5,0.7752808988764045
1,intersect,rgb,10,0.7865168539325843
2,intersect,rgb,15,0.8764044943820225
3,intersect,rgb,20,0.797752808988764
4,intersect,rgb,25,0.9101123595505618
5,intersect,rgb,30,0.8089887640449438
6,intersect,rgb,35,0.898876404494382
7,intersect,rgb,40,0.7865168539325843
8,intersect,rgb,45,0.8764044943820225
9,intersect,rgb,50,0.7865168539325843
10,intersect,rgb,55,0.8764044943820225
11,l2,rgb,5,0.6404494382022472
12,l2,rgb,10,0.6067415730337079
13,l2,rgb,15,0.5730337078651685
14,l2,rgb,20,0.48314606741573035
15,l2,rgb,25,0.4943820224719101
16,l2,rgb,30,0.38202247191011235
17,l2,rgb,35,0.47191011235955055
18,l2,rgb,40,0.33707865168539325
19,l2,rgb,45,0.38202247191011235
20,l2,rgb,50,0.3258426966292135
21,l2,rgb,55,0.34831460674157305
22,chi2,rgb,5,0.6853932584269663
23,chi2,rgb,10,0.6741573033707865
24,chi2,rgb,15,0.651685393258427
25,chi2,rgb,20,0.550561797752809
26,chi2,rgb,25,0.5280898876404494
27,chi2,rgb,30,0.43820224719101125
28,chi2,rgb,35,0.5056179775280899
29,chi2,rgb,40,0.3707865168539326
30,chi2,rgb,45,0.449438202247191
31,chi2,rgb,50,0.3258426966292135
32,chi2,rgb,55,0.38202247191011235
