,distance_name,histogram_name,num_bins,accuracy
0,intersect,rg,5,0.7078651685393258
1,intersect,rg,10,0.7078651685393258
2,intersect,rg,15,0.8314606741573034
3,intersect,rg,20,0.7303370786516854
4,intersect,rg,25,0.8426966292134831
5,intersect,rg,30,0.7415730337078652
6,intersect,rg,35,0.8426966292134831
7,intersect,rg,40,0.7415730337078652
8,intersect,rg,45,0.8202247191011236
9,intersect,rg,50,0.7303370786516854
10,intersect,rg,55,0.8089887640449438
11,intersect,rg,60,0.7191011235955056
12,intersect,rg,65,0.8089887640449438
13,intersect,rg,70,0.7303370786516854
14,intersect,rg,75,0.7865168539325843
15,intersect,rg,80,0.6853932584269663
16,intersect,rg,85,0.8089887640449438
17,intersect,rg,90,0.6853932584269663
18,intersect,rg,95,0.797752808988764
19,intersect,rg,100,0.6853932584269663
20,intersect,rg,105,0.7752808988764045
21,intersect,rg,110,0.6741573033707865
22,intersect,rg,115,0.7528089887640449
23,intersect,rg,120,0.6853932584269663
24,intersect,rg,125,0.7415730337078652
25,intersect,rg,130,0.6741573033707865
26,intersect,rg,135,0.7415730337078652
27,intersect,rg,140,0.6741573033707865
28,intersect,rg,145,0.7528089887640449
29,intersect,rg,150,0.6741573033707865
30,intersect,rg,155,0.7528089887640449
31,intersect,rg,160,0.6404494382022472
32,intersect,rg,165,0.7415730337078652
33,intersect,rg,170,0.651685393258427
34,intersect,rg,175,0.7528089887640449
35,intersect,rg,180,0.6404494382022472
36,intersect,rg,185,0.7752808988764045
37,intersect,rg,190,0.6404494382022472
38,intersect,rg,195,0.7640449438202247
39,intersect,rg,200,0.6179775280898876
40,intersect,rg,205,0.7528089887640449
41,intersect,rg,210,0.6292134831460674
42,intersect,rg,215,0.6404494382022472
43,intersect,rg,220,0.6292134831460674
44,intersect,rg,225,0.6292134831460674
45,intersect,rg,230,0.6179775280898876
46,intersect,rg,235,0.6179775280898876
47,intersect,rg,240,0.6179775280898876
48,intersect,rg,245,0.6067415730337079
49,intersect,rg,250,0.6179775280898876
50,intersect,rg,255,0.6292134831460674
51,l2,rg,5,0.6179775280898876
52,l2,rg,10,0.5842696629213483
53,l2,rg,15,0.5842696629213483
54,l2,rg,20,0.48314606741573035
55,l2,rg,25,0.5393258426966292
56,l2,rg,30,0.43820224719101125
57,l2,rg,35,0.5730337078651685
58,l2,rg,40,0.4044943820224719
59,l2,rg,45,0.4943820224719101
60,l2,rg,50,0.34831460674157305
61,l2,rg,55,0.39325842696629215
62,l2,rg,60,0.33707865168539325
63,l2,rg,65,0.39325842696629215
64,l2,rg,70,0.3146067415730337
65,l2,rg,75,0.39325842696629215
66,l2,rg,80,0.34831460674157305
67,l2,rg,85,0.3707865168539326
68,l2,rg,90,0.33707865168539325
69,l2,rg,95,0.34831460674157305
70,l2,rg,100,0.33707865168539325
71,l2,rg,105,0.34831460674157305
72,l2,rg,110,0.3146067415730337
73,l2,rg,115,0.3707865168539326
74,l2,rg,120,0.3146067415730337
75,l2,rg,125,0.34831460674157305
76,l2,rg,130,0.3146067415730337
77,l2,rg,135,0.34831460674157305
78,l2,rg,140,0.29213483146067415
79,l2,rg,145,0.34831460674157305
80,l2,rg,150,0.29213483146067415
81,l2,rg,155,0.34831460674157305
82,l2,rg,160,0.30337078651685395
83,l2,rg,165,0.3595505617977528
84,l2,rg,170,0.30337078651685395
85,l2,rg,175,0.3595505617977528
86,l2,rg,180,0.30337078651685395
87,l2,rg,185,0.3146067415730337
88,l2,rg,190,0.2808988764044944
89,l2,rg,195,0.30337078651685395
90,l2,rg,200,0.2696629213483146
91,l2,rg,205,0.30337078651685395
92,l2,rg,210,0.25842696629213485
93,l2,rg,215,0.2808988764044944
94,l2,rg,220,0.24719101123595505
95,l2,rg,225,0.2696629213483146
96,l2,rg,230,0.25842696629213485
97,l2,rg,235,0.2696629213483146
98,l2,rg,240,0.25842696629213485
99,l2,rg,245,0.2696629213483146
100,l2,rg,250,0.24719101123595505
101,l2,rg,255,0.24719101123595505
102,chi2,rg,5,0.651685393258427
103,chi2,rg,10,0.5955056179775281
104,chi2,rg,15,0.6292134831460674
105,chi2,rg,20,0.5730337078651685
106,chi2,rg,25,0.5955056179775281
107,chi2,rg,30,0.47191011235955055
108,chi2,rg,35,0.6067415730337079
109,chi2,rg,40,0.449438202247191
110,chi2,rg,45,0.5280898876404494
111,chi2,rg,50,0.39325842696629215
112,chi2,rg,55,0.449438202247191
113,chi2,rg,60,0.38202247191011235
114,chi2,rg,65,0.4157303370786517
115,chi2,rg,70,0.33707865168539325
116,chi2,rg,75,0.4157303370786517
117,chi2,rg,80,0.3707865168539326
118,chi2,rg,85,0.38202247191011235
119,chi2,rg,90,0.3595505617977528
120,chi2,rg,95,0.3595505617977528
121,chi2,rg,100,0.3258426966292135
122,chi2,rg,105,0.3595505617977528
123,chi2,rg,110,0.33707865168539325
124,chi2,rg,115,0.4044943820224719
125,chi2,rg,120,0.33707865168539325
126,chi2,rg,125,0.39325842696629215
127,chi2,rg,130,0.30337078651685395
128,chi2,rg,135,0.3595505617977528
129,chi2,rg,140,0.29213483146067415
130,chi2,rg,145,0.3707865168539326
131,chi2,rg,150,0.30337078651685395
132,chi2,rg,155,0.3707865168539326
133,chi2,rg,160,0.3258426966292135
134,chi2,rg,165,0.3707865168539326
135,chi2,rg,170,0.3258426966292135
136,chi2,rg,175,0.3707865168539326
137,chi2,rg,180,0.30337078651685395
138,chi2,rg,185,0.33707865168539325
139,chi2,rg,190,0.29213483146067415
140,chi2,rg,195,0.3258426966292135
141,chi2,rg,200,0.2808988764044944
142,chi2,rg,205,0.3146067415730337
143,chi2,rg,210,0.2696629213483146
144,chi2,rg,215,0.29213483146067415
145,chi2,rg,220,0.2696629213483146
146,chi2,rg,225,0.2696629213483146
147,chi2,rg,230,0.25842696629213485
148,chi2,rg,235,0.2696629213483146
149,chi2,rg,240,0.25842696629213485
150,chi2,rg,245,0.2696629213483146
151,chi2,rg,250,0.25842696629213485
152,chi2,rg,255,0.25842696629213485
